"","ontology","GO","set","n_genes","V1","V2","term","parent","parentTerm","size","pvalue","qvalue","score"
"1","MF","GO:0000166","topfind",3,-0.470696162881575,0.110628179108023,"nucleotide binding","GO:0097159","organic cyclic compound binding",62,6.01406995445054e-08,1.86076843648275e-06,5.73030766932759
"2","MF","GO:0000217","topfind",1,-0.361815148185018,0.0983104117572068,"DNA secondary structure binding","GO:0003676","nucleic acid binding",2,2.17400570149046e-06,4.50894429257178e-05,4.34592513031289
"3","MF","GO:0000976","topfind",10,-0.497319384238199,0.123136087774666,"transcription cis-regulatory region binding","GO:0003676","nucleic acid binding",237,0.000191023711946081,0.00238331928107728,2.62281777354876
"4","MF","GO:0000977","topfind",8,-0.491754446691838,0.122377338430934,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","GO:0003676","nucleic acid binding",367,9.47179014832607e-05,0.00125011974106419,2.90304838667767
"5","MF","GO:0000978","topfind",24,-0.484346683602521,0.121593170100932,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","GO:0003676","nucleic acid binding",1445,1.22672838639932e-05,0.000209090357748389,3.67966599431395
"6","MF","GO:0000987","topfind",1,-0.485740156235572,0.121663512308975,"cis-regulatory region sequence-specific DNA binding","GO:0003676","nucleic acid binding",60,1.69132730377538e-05,0.000281359344180133,3.55073865698597
"7","MF","GO:0000993","Unreported",3,0.153320908923231,-0.381486330773618,"RNA polymerase II complex binding","GO:0019899","enzyme binding",51,3.28938663308272e-05,0.00154504425089209,2.81105907763523
"8","MF","GO:0001221","topfind",4,0.091633819460043,-0.183460486822263,"transcription coregulator binding","GO:0140297","DNA-binding transcription factor binding",17,1.84660785865304e-05,0.000297882095986758,3.52595559899316
"9","MF","GO:0001221","Unreported",3,0.091633819460043,-0.183460486822263,"transcription coregulator binding","GO:0140297","DNA-binding transcription factor binding",17,1.64414603323457e-05,0.000847000391959873,3.07211638869412
"10","MF","GO:0001223","topfind",4,0.0919024885097486,-0.173668114259625,"transcription coactivator binding","GO:0140297","DNA-binding transcription factor binding",33,0.00024954864196305,0.00300267125838552,2.52249221308385
